name,email,phone,address,birthday,role
Dao Trong Customer,customer@gmail.com,0154346439,120 Continental Street,2002-04-12 14:48:21,1
Nguyen Tien Sale,sale@gmail.com,9551819190,23 Claremont Street,1991-06-26 10:30:28,2
Do Long Delivery,delivery@gmail.com,3052617866,12 Bayside,1996-10-27 23:09:42,3
Le The Warranty,warranty@gmail.com,3841709435,213 Comanche Crossing,1993-12-14 07:53:45,4
Vo Do Quang Manager,manager@gmail.com,3682157063,13 Marquette Way,1995-02-22 21:31:35,5
Nguyen Van Admin,admin@gmail.com,3841709435,213 Anzinger Crossing,1993-12-14 07:53:45,6
Sashenka Auguste,sauguste0@redcross.org,2439685071,9223 Westridge Parkway,1995-10-14 13:33:51,2
Goldia Manser,gmanser1@wisc.edu,5661492383,044 Delladonna Drive,1995-05-11 06:32:21,2
Timmy Dorn,tdorn2@cmu.edu,5414696180,44020 Glacier Hill Way,2001-02-05 08:48:20,2
Bogart Burnyate,bburnyate3@fc2.com,7963546735,55 Portage Circle,1996-06-02 10:16:27,2
Krisha Yallop,kyallop4@github.com,6563077556,223 Scott Road,1990-02-24 17:09:18,2
Cornie Titchen,ctitchen5@eepurl.com,4633128650,0710 Raven Road,1964-07-15 19:50:54,2
Hyacinth Dunphy,hdunphy6@pagesperso-orange.fr,7365253206,6 Scoville Center,1999-10-29 00:09:25,2
Lind Powley,lpowley7@phpbb.com,9356234704,220 Kensington Junction,1973-08-12 20:37:10,2
Hogan Welbourn,hwelbourn8@g.co,3618123842,910 Mendota Circle,1991-08-24 05:39:38,2
Glad Shipway,gshipway9@163.com,8039474719,5 Coleman Road,1963-12-25 21:17:46,3
Elaina Maskrey,emaskreya@intel.com,6769456002,8848 Maple Wood Road,1997-01-12 19:17:35,3
Bryan Rosendall,brosendallb@soup.io,6869240520,812 Schlimgen Avenue,1965-04-26 18:19:49,3
Stace Sherman,sshermanc@nymag.com,8089145301,3385 Clove Parkway,1980-08-19 14:28:27,3
Linn Swarbrigg,lswarbriggd@ftc.gov,5803299741,91 Ruskin Road,1960-09-26 16:54:59,3
Lucille Sandland,lsandlande@yale.edu,9067668873,87 Valley Edge Pass,1996-08-12 16:28:23,3
Paulie Mandeville,pmandevillef@ask.com,8787174052,6 Huxley Parkway,1965-12-18 08:52:50,3
Terrence De Pero,tdeg@unblog.fr,9689814102,6 Mandrake Drive,1980-03-23 08:59:55,3
Nester Dougary,ndougaryh@dion.ne.jp,2246042954,2022 Knutson Pass,1963-08-20 22:20:55,3
Xaviera Gull,xgulli@netvibes.com,6239791939,9 1st Park,1979-05-03 21:29:08,3
Ashley Muino,amuinoj@last.fm,5486889786,6 Northridge Point,1995-06-16 01:06:43,3
Crystal Cheley,ccheleyk@sakura.ne.jp,6025264664,61889 Jay Alley,1988-05-27 22:48:46,4
Quill Lieb,qliebl@princeton.edu,4422905947,449 Schmedeman Alley,1981-10-08 19:44:47,4
Kiley Amaya,kamayam@ehow.com,1312786269,3 Holy Cross Junction,1998-12-30 19:47:37,4
Keefe Perelli,kperellin@example.com,8191735349,81762 Sugar Parkway,1962-02-14 08:01:59,4
Saba Chasmer,schasmero@github.com,5963804426,42619 Hauk Avenue,1962-02-27 03:39:53,4
